Data collection started on {01/23/2018 15:27:39.346}
[Time] 	 [G1.X] 	 [G1.Y] 	 [G1.Z] 	 [G2.X] 	 [G2.Y] 	 [G2.Z] 	 [G3.X] 	 [G3.Y] 	 [G3.Z] 	 [G4.X] 	 [G4.Y] 	 [G4.Z] 	 [A1.X] 	 [A1.Y] 	 [A1.Z] 	 [A2.X] 	 [A2.Y] 	 [A2.Z] 	 [A3.X] 	 [A3.Y] 	 [A3.Z] 	 [A4.X] 	 [A4.Y] 	 [A4.Z] 	 [M1.X] 	 [M1.Y] 	 [M1.Z] 	 [M2.X] 	 [M2.Y] 	 [M2.Z] 	 [M3.X] 	 [M3.Y] 	 [M3.Z] 	 [M4.X] 	 [M4.Y] 	 [M4.Z] 	 [EMG1] 	 [EMG2] 	 [PULSE A] 	 [PULSE B]
0.0000000000	9.9717708095	38.8570992599	20.9735255970	13.5881589990	15.4345006485	1.0757610437	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.7691157397	0.0015259022	-0.6974593729	-0.2031891356	-0.1914702068	-0.9733424887	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0015564202	-0.0931715877	-0.2286106661	0.2154268711	-0.1475547417	0.0016784924	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.5000381476	2.8223086900	0.8250125887	2.4750377661	
0.0200000000	13.9391165026	13.6339360647	30.0831616693	2.1896696422	16.3805600061	1.0910200656	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.6968490120	-0.0010376135	-0.6046845197	-0.2108796826	-0.1662012665	-0.9232928969	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0002746624	-0.0939040208	-0.2274509804	0.2195773251	-0.1509117266	-0.0080872816	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8186465248	2.8918898299	0.8250125887	2.4750377661	
0.0400000000	3.9139391165	-9.5140001526	19.2187380789	-17.3266193637	11.1314564736	-0.5416952773	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.6465552758	-0.0618295567	-0.4932326238	-0.2389562829	-0.0889295796	-0.8249027237	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0011902037	-0.0942702373	-0.2276951247	0.2162813764	-0.1501182574	-0.0098573281	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8638132296	2.8589303426	0.8250125887	2.4750377661	
0.0600000000	-8.8426031891	-24.9103532464	4.9973296712	-17.8301670863	2.2201876860	-0.5722133211	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.6332494087	-0.0548714427	-0.3931334401	-0.2870527199	-0.0217898833	-0.7318837263	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0011902037	-0.0953688869	-0.2271458000	0.2141451133	-0.1491416800	-0.0022278172	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8467231250	2.8796826123	0.8250125887	2.4750377661	
0.0800000000	-11.7265583276	-43.6636911574	-10.0175478752	-13.3897917144	-7.3929961089	1.5182726787	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.6439917601	0.0104371710	-0.3073167010	-0.3051194018	-0.0014038300	-0.7423819333	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0025329976	-0.0943923095	-0.2281223774	0.2191500725	-0.1452353704	-0.0099794003	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8393987945	2.8247501335	0.8250125887	2.4750377661	
0.1000000000	-10.9025711452	-50.6828412299	-16.4110780499	-10.4753185321	-13.6186770428	2.9831387808	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.7189440757	0.0621957733	-0.3915465019	-0.3258716716	-0.0099488823	-0.8418707561	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0047913329	-0.0944533455	-0.2276340887	0.2178072786	-0.1484092470	-0.0046082246	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.9004348821	2.8711375601	0.8250125887	2.4750377661	
0.1200000000	-5.9586480507	-45.4489967193	-20.1190203708	-5.5771725032	-13.4813458457	0.6942854963	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.8250247959	0.1392233158	-0.5244831006	-0.3444266423	0.0430304417	-0.9082780194	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0079041733	-0.0921950103	-0.2301365682	0.2167696651	-0.1446860456	0.0003967346	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8320744640	2.8357366293	0.8250125887	2.4750377661	
0.1400000000	-5.5771725032	-12.7183947509	-22.7435721370	5.3788052186	-9.5445181964	-1.0299839780	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.9241474022	0.1524071107	-0.7066147860	-0.3657892729	0.0624399176	-0.8944838636	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0083924620	-0.0926832990	-0.2298924239	0.2121919585	-0.1445029374	0.0054016938	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8540474556	2.8638132296	0.8250125887	2.4750377661	
0.1600000000	4.2496375982	21.0955977722	-19.0051117723	16.4263370718	-3.5019455253	0.8773937591	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.9884794385	0.2123445487	-0.7774166476	-0.3673762112	0.0059205005	-0.9555199512	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0082703899	-0.0925001907	-0.2290989548	0.2162813764	-0.1456015869	0.0024719615	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8711375601	2.8528267338	0.8250125887	2.4750377661	
0.1800000000	5.4551003281	48.8364995804	-11.8333714809	15.9685664149	5.5924315251	5.3635461967	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.9729762722	0.1594872969	-0.7945067521	-0.3262378882	-0.0570687419	-0.9497825589	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0047913329	-0.0918898299	-0.2287327382	0.2143892576	-0.1452353704	0.0002746624	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8479438468	2.8332951858	0.8250125887	2.4750377661	
